Edge Detector,Input Image,Noise Type,Preprocessing,Edge Quality,Noise Sensitivity,Observations,Edge density (%),Precision,Recall,F1 vs clean,Fragments /1k px,Edge width (x skel.)
Sobel,Original,None,None,"Reference - medium width, partly fragmented",n/a (reference),Edge density 16.5% of pixels; width 2.01x skeleton; 56 fragments per 1000 edge px. Design: 1st-order gradient with built-in 3-px weighted smoothing; responses are wide.,16.5,,,,56.1,2.01
Sobel,Noisy,Gaussian,None,Poor (F1=0.58),High (drop 42 pp),"57% of detected edge px are false edges, 3% of clean edge px are missing/broken; density 16.5%->37.8%; 45 fragments/1000 px (clean 56); width 1.39x.",37.8,0.435,0.974,0.58,45.1,1.39
Sobel,Noisy,Salt & Pepper,None,Poor (F1=0.49),High (drop 51 pp),"59% of detected edge px are false edges, 30% of clean edge px are missing/broken; density 16.5%->24.5%; 65 fragments/1000 px (clean 56); width 1.64x.",24.51,0.409,0.697,0.492,64.9,1.64
Sobel,Noisy,Gaussian,Gaussian Filter,Fair (F1=0.68),Moderate (drop 32 pp),"45% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.5%->32.8%; 52 fragments/1000 px (clean 56); width 1.97x. Filtering changed F1 by +0.10 vs the unfiltered noisy input.",32.84,0.548,0.94,0.678,52.3,1.97
Sobel,Noisy,Salt & Pepper,Median Filter,Good (F1=0.95),Low (drop 5 pp),"3% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.5%->16.6%; 38 fragments/1000 px (clean 56); width 2.47x. Filtering changed F1 by +0.46 vs the unfiltered noisy input.",16.61,0.971,0.94,0.954,37.5,2.47
Prewitt,Original,None,None,"Reference - medium width, partly fragmented",n/a (reference),"Edge density 16.6% of pixels; width 2.05x skeleton; 56 fragments per 1000 edge px. Design: 1st-order gradient with unweighted 3-px smoothing; very close to Sobel, slightly noisier.",16.56,,,,55.7,2.05
Laplacian,Original,None,None,"Reference - thin / sharp, highly fragmented",n/a (reference),Edge density 15.6% of pixels; width 1.30x skeleton; 192 fragments per 1000 edge px. Design: 2nd-order isotropic operator with no smoothing; thin but amplifies every noisy pixel.,15.57,,,,192.4,1.3
LoG,Noisy,Gaussian,Gaussian Filter,Fair (F1=0.67),Moderate (drop 33 pp),"44% of detected edge px are false edges, 10% of clean edge px are missing/broken; density 17.3%->29.4%; 84 fragments/1000 px (clean 70); width 2.79x. Filtering changed F1 by +0.03 vs the unfiltered noisy input.",29.4,0.557,0.896,0.673,84.1,2.79
Canny,Original,None,Built-in smoothing,"Reference - thin / sharp, partly fragmented",n/a (reference),Edge density 0.4% of pixels; width 1.30x skeleton; 36 fragments per 1000 edge px. Design: smoothing + non-max suppression + hysteresis; 1-px edges linked into contours.,0.42,,,,35.7,1.3
Canny,Noisy,Gaussian,Gaussian Filter,Poor (F1=0.17),High (drop 83 pp),"67% of detected edge px are false edges, 85% of clean edge px are missing/broken; density 0.4%->0.1%; 30 fragments/1000 px (clean 36); width 1.36x. Filtering changed F1 by -0.15 vs the unfiltered noisy input.",0.11,0.331,0.146,0.174,30.2,1.36
Canny,Noisy,Salt & Pepper,Median Filter,Poor (F1=0.40),High (drop 60 pp),"47% of detected edge px are false edges, 65% of clean edge px are missing/broken; density 0.4%->0.2%; 35 fragments/1000 px (clean 36); width 1.30x. Filtering changed F1 by +0.36 vs the unfiltered noisy input.",0.21,0.531,0.352,0.402,34.9,1.3
