Edge Detector,Input Image,Noise Type,Preprocessing,Edge Quality,Noise Sensitivity,Observations,Edge density (%),Precision,Recall,F1 vs clean,Fragments /1k px,Edge width (x skel.)
Sobel,Original,None,None,"Reference - medium width, partly fragmented",n/a (reference),Edge density 16.5% of pixels; width 2.01x skeleton; 56 fragments per 1000 edge px. Design: 1st-order gradient with built-in 3-px weighted smoothing; responses are wide.,16.5,,,,56.1,2.01
Sobel,Noisy,Gaussian,None,Poor (F1=0.58),High (drop 42 pp),"57% of detected edge px are false edges, 3% of clean edge px are missing/broken; density 16.5%->37.8%; 45 fragments/1000 px (clean 56); width 1.39x.",37.8,0.435,0.974,0.58,45.1,1.39
Sobel,Noisy,Gaussian,Gaussian Filter,Fair (F1=0.68),Moderate (drop 32 pp),"45% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.5%->32.8%; 52 fragments/1000 px (clean 56); width 1.97x. Filtering changed F1 by +0.10 vs the unfiltered noisy input.",32.84,0.548,0.94,0.678,52.3,1.97
Sobel,Noisy,Gaussian,Median Filter,Fair (F1=0.63),Moderate (drop 37 pp),"51% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.5%->33.5%; 52 fragments/1000 px (clean 56); width 1.75x. Filtering changed F1 by +0.05 vs the unfiltered noisy input.",33.48,0.492,0.935,0.627,52.4,1.75
Sobel,Noisy,Salt & Pepper,None,Poor (F1=0.49),High (drop 51 pp),"59% of detected edge px are false edges, 30% of clean edge px are missing/broken; density 16.5%->24.5%; 65 fragments/1000 px (clean 56); width 1.64x.",24.51,0.409,0.697,0.492,64.9,1.64
Sobel,Noisy,Salt & Pepper,Gaussian Filter,Poor (F1=0.55),High (drop 45 pp),"56% of detected edge px are false edges, 18% of clean edge px are missing/broken; density 16.5%->31.9%; 33 fragments/1000 px (clean 56); width 2.27x. Filtering changed F1 by +0.06 vs the unfiltered noisy input.",31.94,0.442,0.822,0.554,32.7,2.27
Sobel,Noisy,Salt & Pepper,Median Filter,Good (F1=0.95),Low (drop 5 pp),"3% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.5%->16.6%; 38 fragments/1000 px (clean 56); width 2.47x. Filtering changed F1 by +0.46 vs the unfiltered noisy input.",16.61,0.971,0.94,0.954,37.5,2.47
Prewitt,Original,None,None,"Reference - medium width, partly fragmented",n/a (reference),"Edge density 16.6% of pixels; width 2.05x skeleton; 56 fragments per 1000 edge px. Design: 1st-order gradient with unweighted 3-px smoothing; very close to Sobel, slightly noisier.",16.56,,,,55.7,2.05
Prewitt,Noisy,Gaussian,None,Poor (F1=0.58),High (drop 42 pp),"57% of detected edge px are false edges, 2% of clean edge px are missing/broken; density 16.6%->37.9%; 65 fragments/1000 px (clean 56); width 1.39x.",37.95,0.431,0.979,0.578,65.4,1.39
Prewitt,Noisy,Gaussian,Gaussian Filter,Fair (F1=0.68),Moderate (drop 32 pp),"45% of detected edge px are false edges, 6% of clean edge px are missing/broken; density 16.6%->32.9%; 52 fragments/1000 px (clean 56); width 2.01x. Filtering changed F1 by +0.10 vs the unfiltered noisy input.",32.9,0.549,0.941,0.679,51.7,2.01
